INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,,,,,,,,,
1003-07-2,CASRN,DTXSID9074935,3-Isothiazolone,O=C1NSC=C1,,,,,,,,,
101-68-8,CASRN,DTXSID7025180,"4,4'-Diphenylmethane diisocyanate",O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1,,,,,,,,,
104-55-2,CASRN,DTXSID1024835,3-Phenylprop-2-enal,O=CC=CC1=CC=CC=C1,,,,,,,,,
107-15-3,CASRN,DTXSID5021881,Ethylenediamine,NCCN,,,,,,,,,
107-20-0,CASRN,DTXSID4020292,Chloroacetaldehyde,ClCC=O,,,,,,,,,
108-31-6,CASRN,DTXSID7024166,"2,5-Furandione",O=C1OC(=O)C=C1,,,,,,,,,
108-90-7,CASRN,DTXSID4020298,Chlorobenzene,ClC1=CC=CC=C1,,,,,,,,,
110-85-0,CASRN,DTXSID1021164,Piperazine,C1CNCCN1,,,,,,,,,
111-30-8,CASRN,DTXSID6025355,Glutaraldehyde,O=CCCCC=O,,,,,,,,,
127-65-1,CASRN,DTXSID6040321,Chloramine-T,[Na+].CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl,,,,,,,,,
16691-43-3,CASRN,DTXSID7044849,"3-Amino-1,2,4-triazole-5-thiol",NC1=NC(=S)NN1,,,,,,,,,
16919-58-7,CASRN,DTXSID10893445,Diammonium hexachloroplatinate(2-),[NH4+].[NH4+].[Cl-][Pt+4]([Cl-])([Cl-])([Cl-])([Cl-])[Cl-],,,,,,,,,
2508-19-2,CASRN,DTXSID0043715,Trinitrobenzenesulfonic acid,OS(=O)(=O)C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,,,,,,,,,
50-00-0,CASRN,DTXSID7020637,Formaldehyde,C=O,,,,,,,,,
552-30-7,CASRN,DTXSID7026235,Trimellitic anhydride,OC(=O)C1=CC=C2C(=O)OC(=O)C2=C1,,,,,,,,,
584-84-9,CASRN,DTXSID7026156,"Toluene 2,4-diisocyanate",CC1=CC=C(C=C1N=C=O)N=C=O,,,,,,,,,
69-72-7,CASRN,DTXSID7026368,Salicylic acid,OC(=O)C1=C(O)C=CC=C1,,,,,,,,,
822-06-0,CASRN,DTXSID4024143,"1,6-Diisocyanatohexane",O=C=NCCCCCCN=C=O,,,,,,,,,
85-44-9,CASRN,DTXSID2021159,Phthalic anhydride,O=C1OC(=O)C2=C1C=CC=C2,,,,,,,,,
9004-82-4,CASRN,DTXSID2029298,"alpha-Sulfo-omega-(dodecyloxy)poly(oxy-1,2-ethanediyl) sodium salt",CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,,,,,,,,
97-00-7,CASRN,DTXSID6020278,"1-Chloro-2,4-dinitrobenzene",[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,,,,,,,,,
97-53-0,CASRN,DTXSID9020617,Eugenol,COC1=C(O)C=CC(CC=C)=C1,,,,,,,,,
98967-40-9,CASRN,DTXSID4032615,Flumetsulam,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F,,,,,,,,,
